55,7,tx_mort_tot,"Número de mortes em acidentes de transporte por 100 mil habitantes. Quanto maior o valor, menor o desempenho.",Taxa de mortalidade em acidentes de transporte - Aracaju,mortes por 100 mil habitantes,2000,34.5
55,17,tx_mort_ped,"Número de mortes de pedestres em acidentes de transporte por 100 mil habitantes. Quanto maior o valor, pior o desempenho.",Taxa de mortalidade de pedestres em acidentes de transporte - Aracaju,mortes por 100 mil hab.,2000,11.9
55,18,tx_mort_cicl,Número de mortes de ciclistas em acidentes de transporte por 100 mil habitantes.,Taxa de mortalidade de ciclistas em acidentes de transporte - Aracaju,mortes por 100 mil hab.,2000,0.9
55,19,tx_mort_auto,Número de mortes de ocupantes de automóveis por acidentes de transporte por 100 mil habitantes,Taxa de mortalidade de ocupantes de automóvel em acidentes de transporte - Aracaju,mortes por 100 mil hab.,2000,11.3
55,20,tx_mort_moto,Número de mortes de motociclistas por acidentes de transporte por 100 mil habitantes,Taxa de mortalidade de motociclistas em acidentes de transporte - Aracaju,mortes por 100 mil hab.,2000,4.8
55,30,perc_morte_negros,-,Percentual de negros nas mortes em acidentes de transporte - Aracaju,%,2000,38
56,7,tx_mort_tot,"Número de mortes em acidentes de transporte por 100 mil habitantes. Quanto maior o valor, menor o desempenho.",Taxa de mortalidade em acidentes de transporte - Belém,mortes por 100 mil habitantes,2000,18.1
56,17,tx_mort_ped,"Número de mortes de pedestres em acidentes de transporte por 100 mil habitantes. Quanto maior o valor, pior o desempenho.",Taxa de mortalidade de pedestres em acidentes de transporte - Belém,mortes por 100 mil hab.,2000,15.1
56,18,tx_mort_cicl,Número de mortes de ciclistas em acidentes de transporte por 100 mil habitantes.,Taxa de mortalidade de ciclistas em acidentes de transporte - Belém,mortes por 100 mil hab.,2000,0
56,19,tx_mort_auto,Número de mortes de ocupantes de automóveis por acidentes de transporte por 100 mil habitantes,Taxa de mortalidade de ocupantes de automóvel em acidentes de transporte - Belém,mortes por 100 mil hab.,2000,1.1
56,20,tx_mort_moto,Número de mortes de motociclistas por acidentes de transporte por 100 mil habitantes,Taxa de mortalidade de motociclistas em acidentes de transporte - Belém,mortes por 100 mil hab.,2000,0.5
56,30,perc_morte_negros,-,Percentual de negros nas mortes em acidentes de transporte - Belém,%,2000,84
